year,last_name, first_name,player_id,pitch_hand,api_pitch_type,n_pitches,release_speed,spin_rate,movement_inches,alan_active_spin_pct,active_spin,hawkeye_measured,movement_inferred,api_pitch_name,active_spin_formatted,hawkeye_measured_clock_minutes,movement_inferred_clock_minutes,diff_measured_inferred,diff2,diff_measured_inferred_minutes,hawkeye_measured_clock_hh,hawkeye_measured_clock_mm,movement_inferred_clock_hh,movement_inferred_clock_mm,diff_clock_hh,diff_clock_mm,hawkeye_measured_clock_label,movement_inferred_clock_label,diff_clock_label
,Clase, Emmanuel,661403,R,FC,720,100.2,2579,10.6,0.489842342786201,0.5883473230039417,182.36788343411055,196.65984810910408,Cutter,59,720,690,-14.291964674993523,14.29196467499353,30,12,0,11,30,0,30,12:00,11:30,+0H 30M
,Eovaldi, Nathan,543135,R,FC,364,92.5,2280,11,0.5075448783284044,0.6920657718132083,165.44566943240108,184.2637284788524,Cutter,69,750,705,-18.81805904645134,18.81805904645135,45,12,30,11,45,0,45,12:30,11:45,+0H 45M
,Evans, Demarcus,663770,R,FC,127,86,2457,12.1,0.5345562578662406,0.5303743361011958,190.2038203914336,216.29861980115072,Cutter,53,705,645,-26.094799409717126,26.094799409717094,60,11,45,10,45,1,0,11:45,10:45,+1H 00M
,Gonzales, Marco,594835,L,FC,327,85.5,2115,13,0.6040324137948999,0.7392416884249715,206.3274681757093,192.2021288474783,Cutter,74,660,690,14.125339328231007,14.125339328231007,-30,11,0,11,30,0,30,11:00,11:30,-0H 30M
,Howard, Spencer,675921,R,FC,131,87.9,2182,7.3,0.34865818327341536,0.45699225621883766,186.92226586829312,215.8397953773426,Cutter,46,705,645,-28.917529509049473,28.917529509049466,60,11,45,10,45,1,0,11:45,10:45,+1H 00M
,Keuchel, Dallas,572971,L,FC,660,85.1,2213,7.4,0.34189491459765575,0.3919449353615918,188.1301456622585,164.66134866545343,Cutter,39,705,750,23.468796996805082,23.468796996805086,-45,11,45,12,30,0,45,11:45,12:30,-0H 45M
,Morton, Charlie,450203,R,FC,253,87.5,2423,4.6,0.20794352751058617,0.23147497753017782,188.54359745118958,230.27267802908534,Cutter,23,705,615,-41.72908057789576,41.729080577895736,90,11,45,10,15,1,30,11:45,10:15,+1H 30M
,Petit, Yusmeiro,433589,R,FC,253,84.5,2136,16.4,0.7515230743526475,0.803521150399943,169.58367454238996,176.3781637375546,Cutter,80,735,720,-6.79448919516463,6.794489195164611,15,12,15,12,0,0,15,12:15,12:00,+0H 15M
,Pérez, Martín,527048,L,FC,537,89.6,2225,10.3,0.47484977720723975,0.6130785885455533,207.84443741297457,181.38953779687347,Cutter,61,660,720,26.454899616101102,26.454899616101095,-60,11,0,12,0,1,0,11:00,12:00,-1H 00M
,Rucker, Michael,621074,R,FC,135,89.2,2427,5.7,0.2651786326615637,0.3000746674496639,195.84139547787032,231.83257586127587,Cutter,30,690,615,-35.99118038340555,35.99118038340554,75,11,30,10,15,1,15,11:30,10:15,+1H 15M
,Stroman, Marcus,573186,R,FC,414,89.9,2593,5.6,0.2464453925619529,0.28922814784419965,179.5115810618175,213.86092304908172,Cutter,29,720,645,-34.34934198726421,34.34934198726421,75,12,0,10,45,1,15,12:00,10:45,+1H 15M
,Thornton, Trent,663423,R,FC,191,89.9,2566,9.4,0.4146557284839532,0.47897958390427586,175.70500743227475,201.85312359355206,Cutter,48,735,675,-26.1481161612773,26.14811616127731,60,12,15,11,15,1,0,12:15,11:15,+1H 00M
,Yarbrough, Ryan,642232,L,FC,990,81.9,2117,6.4,0.28856295799724285,0.4048794640760882,187.38907551250932,156.3903250784784,Cutter,40,705,765,30.99875043403091,30.998750434030907,-60,11,45,12,45,1,0,11:45,12:45,-1H 00M
,Álvarez, José,501625,L,FC,32,85.9,2326,9.2,0.407559806767818,0.5099647644268388,194.23573192194462,164.66451071668791,Cutter,51,690,750,29.571221205256705,29.571221205256727,-60,11,30,12,30,1,0,11:30,12:30,-1H 00M
,Alexander, Tyler,641302,L,FC,578,86.2,2336,8.8,0.4019060168569382,0.4588843434877237,184.30455462309135,150.42572768903557,Cutter,46,705,60,33.87882693405578,33.8788269340558,-75,11,45,1,0,1,15,11:45,1:00,-1H 15M
,Armstrong, Shawn,542888,R,FC,219,89.3,2659,8.8,0.3762057364239688,0.4387394713148876,219.3936784301816,246.23586034543519,Cutter,44,645,585,-26.842181915253576,26.842181915253597,60,10,45,9,45,1,0,10:45,9:45,+1H 00M
,Garza Jr., Ralph,621248,R,FC,44,89.8,2223,11.3,0.5352894462259205,0.6662927853391234,169.3999748199503,191.0432865388859,Cutter,67,735,705,-21.643311718935593,21.6433117189356,30,12,15,11,45,0,30,12:15,11:45,+0H 30M
,Morimando, Shawn,596049,L,FC,60,87.2,2331,8.9,0.39693196261210206,0.5182151402103785,200.76654989017004,171.70643492083897,Cutter,52,675,735,29.060114969331067,29.060114969331078,-60,11,15,12,15,1,0,11:15,12:15,-1H 00M
,Ramírez, Erasmo,541640,R,FC,178,88.9,2335,10.7,0.49800188684772095,0.5223156022399924,169.8680132301706,196.50690215669022,Cutter,52,735,690,-26.638888926519627,26.638888926519623,45,12,15,11,30,0,45,12:15,11:30,+0H 45M
,Robertson, David,502085,R,FC,153,92.1,2557,17.9,0.788386219349087,0.7477420596768739,168.96982354121337,184.2480302751278,Cutter,75,735,705,-15.27820673391443,15.278206733914438,30,12,15,11,45,0,30,12:15,11:45,+0H 30M
,Thompson, Keegan,624522,R,FC,257,89.7,2496,7.2,0.3242818711855572,0.37379503207466436,193.54757727981223,231.42173387061496,Cutter,37,690,615,-37.87415659080273,37.87415659080277,75,11,30,10,15,1,15,11:30,10:15,+1H 15M
,Wainwright, Adam,425794,R,FC,668,84.9,2411,8.9,0.3993405883683217,0.46124416583989625,202.52909140898694,233.86685602811892,Cutter,46,675,615,-31.337764619131974,31.337764619131967,60,11,15,10,15,1,0,11:15,10:15,+1H 00M
,Watkins, Spenser,657093,R,FC,296,86.7,2367,8.9,0.4001526376761203,0.5309843510677733,198.81205726435454,224.50455653012642,Cutter,53,675,630,-25.692499265771886,25.692499265771893,45,11,15,10,30,0,45,11:15,10:30,+0H 45M
,Workman, Brandon,519443,R,FC,70,87,2080,5.8,0.2748529038695989,0.4541861801801165,190.22404649340316,200.89478791058067,Cutter,45,705,675,-10.67074141717751,10.67074141717753,30,11,45,11,15,0,30,11:45,11:15,+0H 30M
,Yamamoto, Jordan,657141,R,FC,30,86.9,2582,6.3,0.2693007262568852,0.3381457120151266,181.19872338895627,200.32541713330818,Cutter,34,720,675,-19.12669374435191,19.12669374435192,45,12,0,11,15,0,45,12:00,11:15,+0H 45M
